STT,TÃƒÂªn quÃƒÂ¡n,Ã„ÂÃ¡Â»â€¹a chÃ¡Â»â€°,Ã„ÂiÃ¡Â»â€¡n thoÃ¡ÂºÂ¡i,Rating,Latitude,Longitude,Distance,IsDelivery,IsOpening,Google Maps
76,Cháo Trắng Lá Dứa - Trần Hưng Đạo,"536 Trần Hưng Đạo, P. Lê Bình, Quận Cái Răng, Cần Thơ",Đang cập nhật,7.4,10.0024260409877,105.7519225403667,4.787915327306854,False,True,"https://www.google.com/maps?q=10.0024260409877,105.7519225403667"
77,Phở Nghĩa,"12C Trần Hưng Đạo, P. An Cư, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.892,10.039548,105.77679,1.1525141348781336,True,False,"https://www.google.com/maps?q=10.039548,105.77679"
78,Cơm Phần Út Trinh,"158A/5 Đường Trần Vĩnh Kiết, P. An Bình, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,5.17,10.0144299,105.7507207,4.110898516448908,True,True,"https://www.google.com/maps?q=10.0144299,105.7507207"
79,Heri - Quán Ăn Truyền Thống Hàn Quốc,"43 Mậu Thân, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,9.042,10.037048,105.771615,1.4563215017356497,True,True,"https://www.google.com/maps?q=10.037048,105.771615"
80,Bánh Tầm Bì Thịnh - Nam Cao,"66 Đường Nam Cao, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,10.0,10.0206634,105.7562075,3.269954634476696,True,True,"https://www.google.com/maps?q=10.0206634,105.7562075"
81,Cơm Gà Lê Trang - Nguyễn Văn Cừ,"375 Nguyễn Văn Cừ, P. An Hòa, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,1.0,10.0444136,105.7665545,2.35264958850832,True,True,"https://www.google.com/maps?q=10.0444136,105.7665545"
82,Sài Gòn Bakery - Bánh Mì Sài Gòn - Mậu Thân,"153 Mậu Thân, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.322,10.031297,105.77526,0.9377975850657176,True,True,"https://www.google.com/maps?q=10.031297,105.77526"
83,Hủ Tiếu Mì - Nguyễn Văn Linh,"315 Nguyễn Văn Linh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,6.8,10.028933,105.754374,3.2414948219906776,False,False,"https://www.google.com/maps?q=10.028933,105.754374"
84,Bánh Khoai Mỡ,"Trần Chiên, Quận Cái Răng, Cần Thơ",Đang cập nhật,8.6,9.9986530514931,105.7598152756691,4.533447172790182,False,True,"https://www.google.com/maps?q=9.9986530514931,105.7598152756691"
85,Bánh Khoai Mỡ - 30 Tháng 4,"Đường 30 Tháng 4, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",01889398270,7.4,10.0275671855293,105.7778649358165,0.8050909871675463,False,False,"https://www.google.com/maps?q=10.0275671855293,105.7778649358165"
